X,Y,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
29.579655,-2.800865,RW201000000352,RW,2010.000000,352.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,6.000000,Nyaruguru,GPS,R,-2.800865,29.579655,1796.000000,1800.000000,WGS84
29.637055,-2.345122,RW201000000353,RW,2010.000000,353.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,4.000000,Nyanza,GPS,R,-2.345122,29.637055,1819.000000,1777.000000,WGS84
30.139568,-2.202149,RW201000000354,RW,2010.000000,354.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,30.000000,Bugesera,GPS,R,-2.202149,30.139568,1426.000000,1429.000000,WGS84
30.032885,-1.963772,RW201000000355,RW,2010.000000,355.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,1.000000,Nyarugenge,GPS,U,-1.963772,30.032885,1709.000000,1722.000000,WGS84
29.518657,-1.817924,RW201000000356,RW,2010.000000,356.000000,RW,RW14,Western,NULL,NULL,3.000000,West,16.000000,Ngororero,GPS,R,-1.817924,29.518657,2154.000000,2162.000000,WGS84
29.053524,-2.54094,RW201000000357,RW,2010.000000,357.000000,RW,RW14,Western,NULL,NULL,3.000000,West,17.000000,Rusizi,GPS,R,-2.540940,29.053524,1591.000000,1606.000000,WGS84
29.828331,-2.353186,RW201000000358,RW,2010.000000,358.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,4.000000,Nyanza,GPS,R,-2.353186,29.828331,1601.000000,1592.000000,WGS84
29.426793,-2.052887,RW201000000359,RW,2010.000000,359.000000,RW,RW14,Western,NULL,NULL,3.000000,West,12.000000,Karongi,GPS,U,-2.052887,29.426793,1798.000000,1791.000000,WGS84
29.057529,-2.562947,RW201000000360,RW,2010.000000,360.000000,RW,RW14,Western,NULL,NULL,3.000000,West,17.000000,Rusizi,GPS,R,-2.562947,29.057529,1509.000000,1530.000000,WGS84
29.948877,-1.696857,RW201000000361,RW,2010.000000,361.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,19.000000,Rulindo,GPS,R,-1.696857,29.948877,1877.000000,1900.000000,WGS84
29.396761,-2.356264,RW201000000362,RW,2010.000000,362.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,8.000000,Nyamagabe,GPS,R,-2.356264,29.396761,2311.000000,2286.000000,WGS84
30.441904,-2.138187,RW201000000363,RW,2010.000000,363.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,29.000000,Ngoma,GPS,R,-2.138187,30.441904,1464.000000,1458.000000,WGS84
30.366392,-1.954886,RW201000000364,RW,2010.000000,364.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,24.000000,Rwamagana,GPS,R,-1.954886,30.366392,1660.000000,1659.000000,WGS84
29.762236,-2.054273,RW201000000365,RW,2010.000000,365.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,10.000000,Muhanga,GPS,U,-2.054273,29.762236,1852.000000,1852.000000,WGS84
29.821522,-1.922246,RW201000000366,RW,2010.000000,366.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,11.000000,Kamonyi,GPS,R,-1.922246,29.821522,1728.000000,1722.000000,WGS84
29.258739,-2.38806,RW201000000367,RW,2010.000000,367.000000,RW,RW14,Western,NULL,NULL,3.000000,West,18.000000,Nyamasheke,GPS,R,-2.388060,29.258739,1835.000000,1814.000000,WGS84
30.144486,-1.986546,RW201000000368,RW,2010.000000,368.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,3.000000,Kicukiro,GPS,U,-1.986546,30.144486,1472.000000,1484.000000,WGS84
29.375352,-1.805389,RW201000000369,RW,2010.000000,369.000000,RW,RW14,Western,NULL,NULL,3.000000,West,13.000000,Rutsiro,GPS,R,-1.805389,29.375352,2152.000000,2135.000000,WGS84
30.477437,-2.134998,RW201000000370,RW,2010.000000,370.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,29.000000,Ngoma,GPS,R,-2.134998,30.477437,1506.000000,1484.000000,WGS84
29.902769,-1.668376,RW201000000371,RW,2010.000000,371.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,19.000000,Rulindo,GPS,R,-1.668376,29.902769,2018.000000,1999.000000,WGS84
30.687219,-1.935941,RW201000000372,RW,2010.000000,372.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,27.000000,Kayonza,GPS,R,-1.935941,30.687219,1550.000000,1563.000000,WGS84
30.183944,-1.980913,RW201000000373,RW,2010.000000,373.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,3.000000,Kicukiro,GPS,U,-1.980913,30.183944,1396.000000,1391.000000,WGS84
29.783921,-1.843207,RW201000000374,RW,2010.000000,374.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,10.000000,Muhanga,GPS,R,-1.843207,29.783921,1517.000000,1491.000000,WGS84
30.043979,-2.003313,RW201000000375,RW,2010.000000,375.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,1.000000,Nyarugenge,GPS,U,-2.003313,30.043979,1536.000000,1522.000000,WGS84
29.957955,-2.450605,RW201000000376,RW,2010.000000,376.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,5.000000,Gisagara,GPS,R,-2.450605,29.957955,1425.000000,1409.000000,WGS84
29.557036,-1.657813,RW201000000377,RW,2010.000000,377.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.657813,29.557036,2254.000000,2232.000000,WGS84
